Length,ARP,DNS,GQUIC,LLMNR,NBNS,NTP,TCP,TLSv1.2,UDP,Time_diff,Label,BROWSER,DTLSv1.0,ICMP,IGMPv3,LANMAN,NBSS,OCSP,SMB,SMB2,SSDP,SSL,STUN,TLSv1,DHCPv6,HTTP,SSLv2,TLSv1.3,CoAP,DHCP,DTLS,ICMPv6,IGMPv2,LLDP,MDNS,RTCP
54,0,0,0,0,0,0,1,0,0,0.214479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,1.131459,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,2.30E-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,1,0,0,0,0,0,0,0,1.056204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,1,0,0,0,0,0,0,0,0.038776,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,1,0,0,0.001208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,1,0,0,0.032706,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,1,0,0,0.000125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0.00733,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,1,0,0,0.253075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,1,0,0,0.122511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
